,email,label
730, a green once said that if the spotted owl hadn t existed they would have had to invent it a republican once said i am not a crook oh great another round of lableisms let me know when you get back to real data ,0
2616,substantial monthly income makers voucher income transfer systems distribution center pending income amount up to NUMBER NUMBER NUMBER URL good news you have made the substancial income makers list this means you get the entire system and get the opportunity to make up to NUMBER NUMBER NUMBER a month to receive this system follow this link URL get ready you will immediately receive all the information needed to make a substantial monthly income what are you waiting for URL you are receiving this email due to having requested info on internet businesses if you are not longer looking for one please click the remove link below click on the link below to remove yourself URL aol users a href URL remove me a irish linux users group ilug URL URL for un subscription information list maintainer listmaster URL ,1
944, from robert elz kre munnari oz au date sat NUMBER aug NUMBER NUMBER NUMBER NUMBER NUMBER date thu NUMBER aug NUMBER NUMBER NUMBER NUMBER NUMBER from chris garrigues cwg dated NUMBER NUMBERaNUMBER deepeddy com message id NUMBER NUMBER tmda deepeddy vircio com hmmm i assume you re going to report this to the nmh folks yes i will sometime after i look at the nmh sources and see what they have managed to break and why but we really want exmh to operate with all the versions of nmh that exist don t we the patch to have exmh do the right thing whether this bug exists or not is trivial so i d suggest including it patch follows i have no idea why the sequences were being added after the message list before not that it should make any difference to nmh or mh but since i stopped doing that the variable msgs isn t really needed any more rather than assigning pick msgs to msgs and then using msgs the code could just use pick msgs where msgs is now used this is just a frill though so i didn t change that i ll fix this in cvs this afternoon thanks chris chris garrigues URL vircio URL NUMBER congress suite NUMBER austin tx NUMBER NUMBER NUMBER NUMBER NUMBER world war iii the wrong doers vs the evil doers ,0
422,so like many young children my daughter tatum age NUMBER months really likes music she also likes to have control over her environment and this means she wants to be the one putting cds into the cd player and getting the music playing by watching tatum i ve discovered that you can learn a lot about ui design from watching NUMBER month olds use technology there is definitely a market niche for a toddler friendly cd mpNUMBER player the cd player we have combines play and pause in a single button but doesn t provide instantaneous feedback that the button was pushed instead requiring you to wait until the music starts NUMBER NUMBER seconds this is a ui disaster since tatum doesn t get feedback right away she presses the button again thereby pausing the cd before it even plays she ll only ever get music if she presses the button an odd number of times this happens a surprising amount of the time since she eventually hits the button again when the music doesn t play for toddlers pressing play must cause the music to start immediately within half a second for the toddler to get the causality and not press the button multiple times as well pressing the button multiple times shouldn t change the semantics like an elevator button no matter how many times you press the elevator still comes to that floor the play button needs to be the same the back hinged door mechanism feeding the cd into the player is also a ui disaster for tatum since the door hinges on the back tatum has to angle cds to put them in and take them out putting cds in isn t much of a problem but taking them out is since tatum grabs cds by the back edge that edge comes out first hitting the lid tatum eventually forces and wiggles the cd out a process that s hard on the cd and the player but which hasn t yet resulted in the cd player being broken surprisingly it hasn t been a problem getting the cd hole onto the spindle tatum seems to understand this concept and the cd load area geometry naturally guides the cd tatum s cd player also plays tapes and has fm radio for a toddler this is a mistake tatum doesn t understand the need to flick a switch to put the player into a specific mode she understands putting a cd in and pressing the play button she sometimes understands the buttons for advancing a song but uses them erratically as well the radio feature has both fm mono and fm stero a distinction totally lost on tatum tatum only understands the binary distinction of music no music what would the ideal toddler cd player be like it would immediately start playing a cd after it was loaded as soon as the cd load door was closed it would give some audible feedback it would have a single large play button the other typical cd controls would be larger than normal but at least half the size of the play button and located far away from the play button so there is no chance of them getting accidentally pressed on the way to play the play button would be a bright color that is different from the color of the player and different from the color of the other cd control keys the device would only play cds no other functions the cd load area would flip open at least NUMBER degrees it should be small approachable for a toddler it should be possible to repeatedly drop the player from a height of NUMBER NUMBER without affecting the player jim ,0
640,heh ten years ago saying the exact same words was most definitely not parroting the party line it was even less so thirty years ago my story remains the same take it or leave it i ve said the same words to white supremacists as to suburban leftist punks as to homeys as to french irish etc etc i don t have to agree with anything you say i am obligated to defend to the death your right to say it i don t give a rat s ass where you say it even in france i don t care where the political pendulum has swung currently chuck on tuesday september NUMBER NUMBER at NUMBER NUMBER am owen byrne wrote on tue sep NUMBER NUMBER at NUMBER NUMBER NUMBERam NUMBER chuck murcko wrote probably because we have this pesky NUMBERst amendment thing here still lots of us in the states have developed a disturbing tendency to shout down or in recent years shackle in legal bs opinions thoughts and individual behaviors we don t agree with except that parroting the party line doesn t really require much freedom of speech now if you had posted something from a left of center source you would have been shouted down in flames buried in ad hominem attacks and probably get your name added to an fbi list besides the basic rule in the united states now is i ll defend your rights to say anything you want but if it isn t appropriately neoconish well don t expect to work hhs seeks science advice to match bush views by rick weiss washington post staff writer tuesday september NUMBER NUMBER page aNUMBER the bush administration has begun a broad restructuring of the scientific advisory committees that guide federal policy in areas such as patients rights and public health eliminating some committees that were coming to conclusions at odds with the president s views and in other cases replacing members with handpicked choices URL owen ,0
708,oh they were plenty upset about the tea taxes but the crack down on colonial script certainly screwed over the american colonies and btw england as well dear ben franklin was right for the wrong reasons first of all the colonies were not prosperous compared to england proper second the issuance of colonial script had nothing to do with full employeement in fact it is almost inconceivable he would make that claim it sounds like a modern keynsian was creating an urban legend otoh the lack of sufficient circulating monetary instruments was economically crippling imagine trying to buy your supplies by offering ious on your own name and then trying to market exchange the paper as the merchant who took the iou the most common problem in the world is when a government prints too much money the effects are a complete disaster there are a lot of incentives that push governments into doing this even though it is incredibly stupid so almost all the literature talks about that but you can also screw an economy over by taking all the money out of circulation the fundamental cause of the american great depression was exactly this courtesy of the federal reserve board i don t think shifting the power to print money to the bank of canada had much effect and canada is still a prosperous country original message from fork admin URL mailto fork admin URL on behalf of gary lawrence murphy sent saturday september NUMBER NUMBER NUMBER NUMBER am to mr fork cc fork URL subject re sed s united states roman empire g f fork list mr writes f free trade and free markets have proven their ability to lift f whole societies out of poverty i m not a f socio political history buff does anybody have some clear f examples china ooops no wait scratch that there is one counter example that i can think of but it may not be precisely free trade markets when ben franklin first visited england he was asked why the colonies were so prosperous ben explained that they used colonial script a kind of barter dollar and increasing the supply of script ensured complete employment the british bankers were furious and immediately lobbied parliament to clamp down on the practice within a few years the colonies were rife with unemployment and poverty just like the rest of the empire according to questionable literature handed out by a fringe political party here in canada the founding fathers had no real complaint about tea taxes it was the banning of colonial script they were protesting if this is true then it comes right back to the forces that killed ned ludd s followers as to why popular opinion believes they were protesting a tea tax the same pamphlet claimed that canada was also a prosperous nation until by an act of parliament in the late NUMBER s or early NUMBER s the right to print money was removed from the juristiction of parliament and handed over to the bank of canada i ve wondered about all this certainly the timeline of the collapse of the canadian economy fits the profile but there are oodles of other causes for example spending money like we had NUMBERm people when we only had NUMBERm anyone have any further information on this gary lawrence murphy garym URL teledynamics communications blog URL biz URL computers are useless they can only give you answers picasso ,0
2502,NUMBER fight the risk of cancer URL NUMBER slim down guaranteed to lose NUMBER NUMBER lbs in NUMBER days URL NUMBER get the child support you deserve free legal advice URL NUMBER join the web s fastest growing singles community URL NUMBER start your private photo album online URL have a wonderful day offer manager prizemama if you wish to leave this list please use the link below URL ,1
2727, request for urgent business assistance your contact was availed to me by the chamber of commerce it was given to me because of my diplomatic status as i did not disclose the actual reasons for which i sought your contact but i was assured that you are reputable and trustworthy if you will be of assistance i am laurent mpeti kabila jnr the second son of late president laurent desire kabila the immediate past president of the democratic republic of congo in africa who was murdered by his opposition through his personal bodyguards in his bedroom on tuesday NUMBERth january NUMBER i have the privilege of being mandated by my father colleagues to seek your immediate and urgent co operation to receive into your bank account the sum of us NUMBERm twenty five million dollars and some thousands carats of diamond this money and treasures was lodged in a vault with a security firm in europe and south africa sources of diamonds and fund in august NUMBER my father as a defence minister and president has a meeting with his cabinet and armychief about the defence budget for NUMBER to NUMBER which was us NUMBERm so he directed one of his best friend frederic kibasa maliba who was a minister of mines and a political party leader known as the union sacree de i opposition radicale et ses allies usoral to buy arms with us NUMBERm on NUMBERth january NUMBER for him to finalized the arm s deal my father was murdered f k maliba fkm and i have decided to keep the money with a foreigner after which he will use it to contest for the political election inspite of all this we have resolved to present your or your company for the firm to pay it into your nominated account the above sum and diamonds this transaction should be finalized within seven NUMBER working days and for your co operation and partnership we have unanimously agreed that you will be entitled to NUMBER NUMBER of the money when successfully receive it in your account the nature of your business is not relevant to the successful execution of this transaction what we require is your total co operation and commitment to ensure NUMBER risk free transaction at both ends and to protect the persons involved in this transaction strict confidence and utmost secrecy is required even after the successful conclusion of this transaction if this proposal is acceptable to you kindly provide me with your personal telephone and fax through my e mail box for immediate commencement of the transaction all correspondence is for the attention of my counsel joseph edward i count on your honour to keep my secret secret looking forward for your urgent reply thanks best regards mpeti l kabila jnr irish linux users group social events social URL URL for un subscription information list maintainer listmaster URL ,1
1783,use perl daily newsletter in this issue URL offers free dns to perl sites URL offers free dns to perl sites posted by km on tuesday september NUMBER NUMBER NUMBER news URL NUMBER krellis writes NUMBER URL today NUMBER announced that it will provide free premium dns services primary and secondary dns hosting to any domains involved in the perl community read the press release for full details NUMBER create an account and NUMBER request credit under the perl dns offer never lose traffic to your perl site due to failed dns again sweet thanks discuss this story at URL links NUMBER URL NUMBER URL NUMBER URL NUMBER URL copyright NUMBER NUMBER pudge all rights reserved you have received this message because you subscribed to it on use perl to stop receiving this and other messages from use perl or to add more messages or change your preferences please go to your user page URL you can log in and change your preferences from there ,0
1908,url URL date thu NUMBER sep NUMBER NUMBER NUMBER NUMBER gmt rssflowersalignright a productive thread NUMBER on rss dev confronts the negativeness about rss NUMBER NUMBER NUMBER head on this will go someplace interesting i left a big hint there in the way the blogchannel module NUMBER is designed patterned after the syndication module NUMBER designed by the rdf folk in other words the place where they re expressing discomfort with rss NUMBER NUMBER is where they can make it their own lead instead of feeling disempowered be powerful at one point i saw clearly where the compromise between rss NUMBER NUMBERx and NUMBER NUMBER was we could have gotten there in early NUMBER so instead we get there in late NUMBER so what not a big deal think about how much better it will be _when we re all advocating the same format _ visualize peace that s basically what i did when i did the NUMBER NUMBER spec i know it s hard to swallow but swallow anyway if i did it you can too NUMBER URL NUMBER URL NUMBER URL NUMBER URL ,0
